,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
680,3017,奇鋐,"5,986,874","3,779","415,857,723",68.70,70.40,68.20,70.20,+,0.9,70.10,28,70.20,25,14.69
681,3018,同開,"216,991",215,"3,416,342",16.00,16.00,15.60,15.90,+,0.05,15.90,1,15.95,2,0.00
682,3019,亞光,"2,660,786","1,857","193,055,144",71.80,73.80,71.10,73.20,+,2.2,73.10,43,73.20,63,67.16
683,3021,鴻名,"199,018",134,"2,985,165",15.15,15.30,14.90,14.90,-,0.35,14.90,10,14.95,4,13.42
684,3022,威強電,"379,317",296,"19,452,314",51.60,51.70,50.90,51.60,+,0.6,51.50,2,51.60,1,13.16
685,3023,信邦,"481,197",561,"122,735,715",254.00,258.00,253.00,257.00,+,4.0,256.00,32,257.00,33,30.67
686,3024,憶聲,"823,615",237,"8,263,871",10.10,10.15,10.00,10.05,+,0.05,10.05,31,10.10,79,43.70
687,3025,星通,"1,579,579",922,"52,929,021",33.95,34.40,33.00,33.05,-,0.6,33.00,48,33.05,4,30.32
688,3026,禾伸堂,"961,575",663,"108,296,957",111.50,113.50,111.50,113.50,+,2.0,113.00,13,113.50,17,18.43
689,3027,盛達,"895,223",477,"15,550,681",17.35,17.90,17.00,17.20,-,0.15,17.20,46,17.25,1,37.39
690,3028,增你強,"399,180",210,"8,844,811",22.10,22.30,22.10,22.15,+,0.1,22.15,115,22.20,38,13.34
691,3029,零壹,"825,766",534,"32,117,943",38.80,39.25,38.65,38.95,+,0.1,38.95,52,39.00,11,10.50
692,3030,德律,"281,713",198,"15,553,328",55.00,55.50,54.90,55.40,+,0.4,55.30,20,55.40,12,11.31
693,3031,佰鴻,"474,681",256,"7,172,078",15.05,15.20,15.00,15.20,+,0.15,15.15,9,15.20,19,18.54
694,3032,偉訓,"277,998",183,"11,053,647",40.05,40.05,39.60,39.75, ,0.0,39.75,1,39.80,7,9.94
695,3033,威健,"854,890",394,"15,583,884",18.35,18.35,18.15,18.25,+,0.05,18.25,5,18.30,3,12.01
696,3034,聯詠,"7,600,964","7,260","3,237,692,124",409.00,435.00,408.50,423.00,+,14.5,423.00,92,423.50,3,25.81
697,3035,智原,"34,549,032","15,784","1,956,354,682",52.70,57.90,52.60,57.90,+,5.2,57.90,"9,797",--,0,49.07
698,3036,文曄,"648,919",349,"26,663,206",41.25,41.25,41.00,41.05,+,0.2,41.05,8,41.10,22,10.19
699,3036A,文曄甲特,"60,701",58,"2,917,648",48.05,48.15,48.00,48.15,+,0.1,48.05,18,48.15,1,0.00
700,3037,欣興,"73,381,621","38,110","7,281,613,362",95.90,102.00,94.80,101.00,+,5.4,100.50,404,101.00,"1,168",33.01
701,3038,全台,"414,308",240,"7,336,831",17.85,17.90,17.60,17.65,-,0.05,17.65,31,17.70,3,11.03
702,3040,遠見,"412,181",229,"16,032,189",38.90,39.20,38.55,38.90,+,0.25,38.85,9,38.90,5,6.44
703,3041,揚智,"2,364,784","1,163","64,168,352",26.95,27.50,26.70,27.40,+,0.5,27.40,30,27.45,19,0.00
704,3042,晶技,"5,701,408","3,752","483,959,513",85.00,85.70,84.00,85.40,+,0.7,85.30,17,85.40,73,20.88
705,3043,科風,"516,033",158,"2,012,150",3.93,3.93,3.88,3.90,-,0.1,3.89,51,3.92,15,0.00
706,3044,健鼎,"2,373,696","1,913","314,731,260",131.00,133.50,131.00,131.50,+,1.0,131.50,31,132.00,13,11.61
707,3045,台灣大,"3,873,726","2,643","375,050,152",97.80,97.90,96.60,96.70,-,0.5,96.70,106,96.80,2,22.44
708,3046,建碁,"433,736",247,"7,398,337",18.00,18.00,16.55,16.75,-,1.6,16.75,4,17.15,2,0.00
709,3047,訊舟,"1,708,708",661,"20,680,673",12.15,12.40,11.90,12.15,+,0.1,12.15,16,12.20,6,20.95
710,3048,益登,"1,029,403",487,"23,510,361",22.85,23.00,22.70,22.80,-,0.2,22.80,54,22.85,2,9.46
711,3049,和鑫,"4,055,557","1,206","39,455,292",9.83,9.83,9.65,9.78,+,0.08,9.77,40,9.78,120,21.73
712,3050,鈺德,"1,892,228",906,"31,698,709",16.20,17.25,16.20,16.50,+,0.4,16.50,38,16.60,113,27.05
713,3051,力特,"1,064,957",233,"6,031,175",5.80,5.85,5.55,5.78,-,0.07,5.78,6,5.79,5,0.00
714,3052,夆典,"1,046,243",343,"12,393,396",12.00,12.05,11.75,11.85,-,0.1,11.80,40,11.85,10,4.51
715,3054,立萬利,"11,743",11,"264,268",22.35,22.65,22.35,22.50,+,0.05,22.40,3,22.65,3,0.00
716,3055,蔚華科,"215,420",414,"6,460,051",29.75,30.10,29.75,30.00,+,0.35,30.00,1,30.05,2,75.00
717,3056,總太,"2,009,919","1,217","74,657,226",37.45,37.65,37.00,37.45,-,0.2,37.25,1,37.45,33,30.45
718,3057,喬鼎,"190,846",181,"1,967,849",10.35,10.45,10.25,10.25,-,0.1,10.25,19,10.30,6,0.00
719,3058,立德,"13,268,183","3,926","168,465,223",12.65,13.15,12.15,13.10,+,0.45,13.05,18,13.10,73,0.00
720,3059,華晶科,"3,177,664","1,960","102,669,782",31.65,33.00,31.45,32.55,+,1.1,32.50,54,32.55,6,70.76
721,3060,銘異,"1,790,549",623,"25,202,088",13.65,14.50,13.60,14.25,+,0.55,14.20,32,14.25,4,0.00
722,3062,建漢,"4,996,440","2,084","94,993,843",18.90,19.35,18.80,18.85, ,0.0,18.85,145,18.90,12,0.00
723,3090,日電貿,"1,033,556",714,"50,179,179",48.50,48.85,48.20,48.75,+,0.15,48.70,20,48.75,2,15.78
724,3094,聯傑,"5,468,349","2,990","145,011,768",26.20,27.30,25.60,26.45,-,0.15,26.40,10,26.45,2,52.90
725,3130,一零四,"2,408",7,"370,624",154.00,154.00,154.00,154.00, ,0.0,153.00,1,154.00,1,20.03
726,3138,耀登,"716,205",641,"181,576,527",255.00,255.00,248.00,255.00,+,23.0,255.00,191,--,0,119.72
727,3149,正達,"6,535,366","3,167","183,430,868",27.60,28.70,27.00,27.90,-,0.1,27.90,14,27.95,3,0.00
728,3164,景岳,"247,017",533,"5,112,366",20.95,21.00,20.50,20.60,-,0.4,20.55,3,20.60,6,36.14
729,3167,大量,"54,426",40,"2,357,200",43.25,43.50,43.20,43.50,+,0.05,43.50,1,43.95,12,19.77
730,3189,景碩,"19,494,678","11,854","1,776,228,478",89.00,92.80,88.00,91.50,+,2.2,91.40,49,91.50,14,108.93
731,3209,全科,"511,997",265,"11,309,875",22.20,22.20,22.05,22.15, ,0.0,22.10,9,22.15,18,9.55
732,3229,晟鈦,"12,031",13,"62,745",5.34,5.34,5.12,5.27,-,0.07,5.10,2,5.26,3,0.00
733,3231,緯創,"16,745,272","7,043","512,588,202",30.00,30.85,29.90,30.70,+,0.8,30.70,83,30.75,8,9.30
734,3257,虹冠電,"411,597",317,"30,481,976",72.90,75.20,72.90,74.50,+,1.7,74.50,18,74.60,1,28.22
