,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
954,6235,華孚,"9,670,492","3,396","198,884,270",19.50,21.25,19.35,20.80,+,1.45,20.80,46,20.85,77,6.14
955,6239,力成,"11,802,339","7,086","1,214,675,349",100.00,104.50,100.00,103.50,+,3.5,103.00,40,103.50,139,11.30
956,6243,迅杰,"932,911",481,"15,688,647",16.40,17.35,16.30,16.90,+,0.25,16.90,2,16.95,2,0.00
957,6251,定穎,"2,613,558","1,358","49,651,724",18.95,19.15,18.85,19.00,+,0.2,19.00,5,19.05,39,7.92
958,6257,矽格,"37,547,946","19,702","1,958,540,199",51.70,53.30,51.10,52.50,+,1.0,52.40,46,52.50,68,12.71
959,6269,台郡,"7,938,507","4,746","964,764,063",120.00,124.00,119.00,121.00,+,1.0,120.50,22,121.00,38,13.36
960,6271,同欣電,"8,482,166","6,785","1,934,916,214",222.00,231.50,221.00,228.00,+,5.5,228.00,26,228.50,18,33.78
961,6277,宏正,"48,202",48,"4,025,079",83.60,83.80,83.30,83.80,+,0.3,83.60,1,83.90,5,6.06
962,6278,台表科,"6,017,052","4,003","755,215,354",123.50,127.50,122.50,127.00,+,4.5,126.50,234,127.00,25,17.86
963,6281,全國電,"30,464",37,"2,218,791",72.80,73.20,72.70,73.20,+,0.5,73.10,1,73.20,3,13.00
964,6282,康舒,"4,496,245","2,147","127,373,792",27.95,28.60,27.90,28.60,+,0.65,28.60,60,28.65,62,10.25
965,6283,淳安,"1,714,754","1,072","67,468,447",38.70,40.15,38.60,39.95,+,0.9,39.95,5,40.00,1,0.00
966,6285,啟碁,"1,847,907","1,493","138,051,971",74.40,75.40,74.30,75.10,+,0.7,75.10,20,75.20,7,21.27
967,6288,聯嘉,"2,149,798","1,032","68,208,747",32.00,32.25,31.50,31.70,-,0.25,31.70,61,31.75,7,33.72
968,6289,華上,"47,321",27,"152,281",3.12,3.30,3.12,3.30,+,0.18,3.30,7,3.37,3,0.00
969,6405,悅城,"293,225",175,"6,290,686",21.60,21.85,21.05,21.70,+,0.7,21.55,1,21.70,3,11.99
970,6409,旭隼,"381,818",192,"496,972,400","1,315.00","1,335.00","1,285.00","1,300.00",+,20.0,"1,295.00",5,"1,300.00",4,50.27
971,6412,群電,"185,067",174,"12,937,096",70.90,70.90,69.60,70.00,+,0.4,69.90,2,70.00,50,13.97
972,6414,樺漢,"4,102,174","2,988","1,100,125,717",263.00,272.00,262.50,266.50,+,6.0,266.50,22,267.00,3,21.79
973,6415,矽力-KY,"543,509",612,"1,447,448,780","2,650.00","2,710.00","2,610.00","2,650.00", ,0.0,"2,650.00",1,"2,660.00",7,85.15
974,6416,瑞祺電通,"354,202",294,"44,184,134",124.00,126.00,123.50,125.00,+,1.0,124.50,20,125.50,6,24.61
975,6431,光麗-KY,"22,006",26,"654,360",29.55,29.90,29.55,29.75,+,0.2,29.70,4,29.80,5,0.00
976,6438,迅得,"1,856,969","1,209","160,692,489",86.00,87.40,85.60,86.60,-,0.8,86.60,7,86.70,5,21.98
977,6442,光聖,"17,351",24,"494,007",28.30,29.00,28.25,28.85,+,0.4,28.50,1,28.85,3,0.00
978,6443,元晶,"13,463,242","7,553","463,932,675",34.50,35.40,33.65,34.30,+,1.15,34.30,20,34.35,22,0.00
979,6449,鈺邦,"737,757",532,"39,466,467",52.60,54.70,52.50,54.10,+,0.6,54.00,13,54.20,11,18.92
980,6451,訊芯-KY,"2,913,280","1,973","405,111,569",135.50,141.00,135.50,141.00,+,5.5,140.50,53,141.00,99,22.27
981,6456,GIS-KY,"2,779,542","1,587","318,115,952",113.00,116.50,112.50,115.50,+,3.5,115.50,31,116.00,72,10.77
982,6464,台數科,"16,030",17,"1,735,770",108.50,109.00,107.50,108.00, ,0.0,107.50,4,109.00,11,12.92
983,6477,安集,"12,844,122","7,638","810,871,988",62.50,64.90,62.00,62.50,+,1.9,62.50,46,62.60,43,24.22
984,6491,晶碩,"624,433",554,"151,014,543",239.00,247.50,236.50,245.00,+,9.0,245.00,7,245.50,2,28.03
985,6504,南六,"610,111",510,"109,912,418",179.50,184.50,178.50,179.50,-,1.0,179.50,14,180.00,16,10.99
986,6505,台塑化,"3,482,856","2,102","331,025,573",97.50,97.50,94.40,94.50,-,1.7,94.50,82,94.60,1,210.00
987,6515,穎崴,"781,295",934,"358,058,873",454.50,472.00,443.00,459.50,-,1.5,459.00,3,460.00,14,24.47
988,6525,捷敏-KY,"485,802",370,"33,408,101",68.80,69.50,68.10,68.60,+,0.1,68.60,3,69.00,16,13.45
989,6531,愛普,"11,460,742","10,288","8,286,174,016",691.00,750.00,675.00,750.00,+,68.0,746.00,7,750.00,106,210.08
990,6533,晶心科,"10,868,147","9,083","4,107,458,713",358.00,393.00,353.50,393.00,+,35.5,393.00,445,--,0,0.00
991,6541,泰福-KY,"275,098",227,"9,543,204",35.45,35.45,34.50,34.60,-,0.2,34.60,4,34.65,2,0.00
992,6552,易華電,"2,231,911","1,577","143,458,292",63.00,66.50,62.00,65.80,+,1.5,65.80,1,65.90,7,26.86
993,6558,興能高,"574,059",385,"25,790,870",44.45,46.00,44.30,45.55,+,1.1,45.50,5,45.55,30,101.22
994,6573,虹揚-KY,"239,979",116,"3,642,902",15.05,15.35,15.05,15.35,+,0.1,15.35,11,15.40,26,0.00
995,6579,研揚,"42,000",37,"2,915,900",69.10,70.00,69.00,70.00,+,0.2,69.90,2,70.40,2,23.03
996,6581,鋼聯,"47,349",42,"3,386,243",71.80,71.80,71.30,71.40,+,0.6,71.30,1,71.40,2,38.59
997,6582,申豐,"636,186",488,"95,391,729",148.00,152.50,148.00,148.50,+,0.5,148.50,27,149.00,1,14.91
998,6591,動力-KY,"508,182",333,"30,643,617",59.00,61.00,59.00,60.30,+,1.5,60.20,33,60.40,2,15.74
999,6592,和潤企業,"2,005,069",522,"160,262,420",80.50,80.50,79.60,80.00, ,0.0,80.00,11,80.10,32,17.17
1000,6598,ABC-KY,"367,036",318,"18,669,954",52.00,52.40,50.50,50.60,-,1.2,50.60,15,50.80,2,0.00
1001,6605,帝寶,"561,132",391,"32,928,558",59.70,59.70,58.00,59.30,+,0.5,59.20,3,59.30,3,22.90
1002,6625,必應,"20,982",27,"596,138",28.50,28.50,28.30,28.30,-,0.6,28.30,1,28.35,2,0.00
1003,6641,基士德-KY,"19,005",9,"1,220,135",64.20,64.60,64.10,64.60,+,0.1,64.10,5,64.60,1,11.25
1004,6655,科定,"6,000",3,"290,100",48.10,48.60,48.10,48.10, ,0.0,48.30,1,48.80,2,14.27
1005,6666,羅麗芬-KY,"38,110",34,"3,239,596",84.90,85.90,84.10,85.50,+,1.9,85.30,3,85.50,6,23.05
1006,6668,中揚光,"479,104",353,"28,139,699",56.80,60.60,56.60,59.10,+,1.8,59.10,3,59.20,16,53.24
1007,6669,緯穎,"2,033,421","2,483","1,792,386,839",894.00,902.00,864.00,868.00,-,26.0,867.00,4,868.00,39,19.39
1008,6670,復盛應用,"170,399",137,"28,050,363",168.00,168.00,163.00,164.00,-,2.0,164.00,2,164.50,2,15.65
1009,6671,三能-KY,"30,000",26,"1,193,700",39.85,40.00,39.45,39.80,+,0.1,39.65,5,39.80,5,10.79
1010,6672,騰輝電子-KY,"7,901,361","4,591","583,056,553",73.80,76.30,72.00,75.00,+,2.1,75.00,31,75.20,10,13.13
1011,6674,鋐寶科技,"24,037",20,"700,323",29.00,29.40,28.85,29.40,+,0.55,29.20,1,29.40,1,89.09
1012,6698,旭暉應材,"543,000",352,"23,720,100",43.25,44.45,42.90,43.85,+,0.75,43.85,16,43.90,1,"4,385.00"
1013,6706,惠特,"1,951,221","1,531","315,477,855",156.00,163.50,156.00,162.50,+,5.0,162.50,12,163.00,55,49.85
1014,6715,嘉基,"87,101",74,"10,544,770",120.00,122.50,120.00,120.50,-,1.0,120.50,3,121.00,6,29.25
1015,6743,安普新,"305,774",247,"35,923,590",118.00,118.00,117.00,117.50, ,0.0,117.50,3,118.00,44,47.38
1016,6754,匯僑設計,"57,000",33,"2,192,150",38.40,38.50,38.25,38.50,+,0.05,38.50,2,38.55,3,13.80
1017,6756,威鋒電子,"1,793,565","1,712","519,592,538",272.00,299.50,271.50,299.50,+,26.5,299.00,3,299.50,40,61.00
1018,8011,台通,"1,973,011","1,006","40,461,204",20.45,20.75,20.25,20.60,+,0.15,20.55,40,20.60,28,343.33
1019,8016,矽創,"3,031,402","2,223","533,755,164",172.00,178.00,172.00,178.00,+,6.5,177.50,3,178.00,231,17.75
1020,8021,尖點,"6,225,275","3,119","173,086,199",28.40,28.50,27.45,27.50,-,1.3,27.50,71,27.55,3,18.58
1021,8028,昇陽半導體,"1,476,479","1,009","77,896,111",52.80,53.50,52.40,52.90,+,0.2,52.80,68,52.90,2,46.81
1022,8033,雷虎,"9,229,438","4,056","170,258,669",18.55,18.90,17.50,18.90,+,0.35,18.85,527,18.90,192,0.00
1023,8039,台虹,"1,279,357",712,"67,444,266",52.50,53.50,51.60,53.10,+,1.5,53.10,42,53.20,5,15.30
1024,8046,南電,"19,773,843","12,835","4,811,137,042",229.00,253.50,226.00,253.50,+,23.0,253.50,"5,012",--,0,62.44
1025,8070,長華*,"5,053,787","2,805","159,464,415",32.15,32.20,31.05,31.40,-,0.35,31.40,35,31.45,2,20.39
1026,8072,陞泰,"60,108",34,"1,691,986",28.20,28.20,28.00,28.15,-,0.05,28.10,4,28.15,2,0.00
1027,8081,致新,"6,762,944","4,062","1,304,134,979",180.00,197.00,179.50,197.00,+,17.5,197.00,"2,073",--,0,17.59
1028,8101,華冠,"273,443",104,"880,161",3.30,3.30,3.18,3.18,-,0.12,3.18,3,3.19,2,0.00
1029,8103,瀚荃,"613,178",316,"20,763,296",33.60,34.15,33.60,33.85,+,0.25,33.85,14,34.00,72,13.65
1030,8104,錸寶,"467,543",399,"22,099,707",45.75,48.25,45.75,48.05,+,2.35,48.00,16,48.05,31,24.90
1031,8105,凌巨,"3,044,095","1,203","35,487,124",11.85,11.85,11.50,11.65,-,0.15,11.65,76,11.70,29,0.00
1032,8110,華東,"2,278,192",953,"30,180,218",13.10,13.40,13.10,13.35,+,0.2,13.30,17,13.35,117,20.54
1033,8112,至上,"3,637,456","1,646","128,568,689",35.25,35.65,35.10,35.65,+,0.45,35.60,47,35.65,4,9.53
1034,8114,振樺電,"115,515",116,"8,926,841",77.10,77.90,76.70,77.40,-,1.6,77.30,1,77.40,9,34.40
1035,8131,福懋科,"223,121",107,"8,395,797",38.00,38.00,37.30,37.60, ,0.0,37.55,11,37.60,4,11.94
1036,8150,南茂,"14,155,038","6,782","525,244,295",37.10,37.55,36.60,37.25,+,0.15,37.25,5,37.30,198,12.25
1037,8163,達方,"1,062,301",686,"43,760,308",41.10,41.55,40.85,41.35,+,0.2,41.35,2,41.40,4,13.43
1038,8201,無敵,"28,058",24,"256,998",9.05,9.27,9.05,9.20,+,0.18,9.20,1,9.27,1,0.00
1039,8210,勤誠,"678,301",549,"53,167,084",80.00,80.50,77.40,78.20,-,1.6,78.10,9,78.20,3,10.24
1040,8213,志超,"2,199,466","1,109","99,288,474",45.30,45.45,45.00,45.25,+,0.1,45.20,57,45.25,1,6.59
1041,8215,明基材,"6,757,002","3,361","190,347,843",28.30,28.80,27.70,28.30,+,0.2,28.30,13,28.35,28,35.38
1042,8222,寶一,"79,716",193,"979,649",12.40,12.40,12.20,12.30,-,0.05,12.25,5,12.30,4,0.00
1043,8249,菱光,"128,153",87,"2,428,358",18.95,19.00,18.85,18.95,+,0.05,18.95,16,19.00,39,17.88
1044,8261,富鼎,"6,772,717","4,384","339,894,258",48.80,51.40,48.30,51.10,+,2.45,51.00,28,51.10,3,30.97
1045,8271,宇瞻,"750,337",492,"29,272,756",39.00,39.40,38.75,39.15,+,0.15,39.10,12,39.15,5,11.76
1046,8341,日友,"90,183",283,"20,082,886",223.00,224.00,221.50,223.50,+,1.5,222.50,1,223.50,1,25.66
1047,8367,建新國際,"339,587",237,"9,613,272",27.60,28.75,27.40,28.30,+,1.1,28.30,2,28.35,5,11.01
1048,8374,羅昇,"229,686",146,"5,730,539",25.15,25.50,24.45,24.75,-,0.15,24.75,4,25.00,15,145.59
1049,8404,百和興業-KY,"136,055",115,"3,787,665",28.25,28.25,27.70,27.85, ,0.0,27.80,1,27.85,2,19.48
1050,8411,福貞-KY,"71,319",68,"963,586",13.65,13.70,13.40,13.40,-,0.15,13.40,19,13.50,2,16.75
1051,8422,可寧衛,"350,956",352,"56,266,668",160.50,161.50,160.00,160.50,-,1.0,160.50,34,161.00,20,14.71
1052,8427,基勝-KY,"12,000",7,"456,750",38.05,38.50,38.00,38.05,-,0.4,38.20,2,38.40,1,0.00
1053,8429,金麗-KY,"288,043",196,"2,416,673",8.52,8.52,8.34,8.45,+,0.02,8.45,13,8.46,4,0.00
1054,8442,威宏-KY,"16,000",16,"725,750",46.40,46.40,44.40,46.00,-,0.1,44.50,10,46.00,2,200.00
1055,8443,阿瘦,"21,880",47,"237,642",10.95,10.95,10.80,10.85,-,0.15,10.85,1,10.90,3,0.00
1056,8454,富邦媒,"504,030",804,"428,424,736",840.00,870.00,832.00,837.00,+,13.0,835.00,6,839.00,1,66.96
1057,8462,柏文,"109,791",259,"15,323,393",138.00,141.00,137.50,140.50,+,2.5,140.50,1,141.00,3,25.59
1058,8463,潤泰材,"100,095",62,"3,565,100",35.65,35.90,35.50,35.60, ,0.0,35.50,1,35.60,8,53.13
1059,8464,億豐,"1,602,078","1,019","622,653,781",379.00,382.50,363.00,381.00,-,3.0,380.50,10,381.00,1,23.92
1060,8466,美吉吉-KY,"59,000",50,"3,620,800",62.20,62.20,60.90,61.70,-,0.5,61.40,9,61.70,5,11.80
1061,8467,波力-KY,"1,000",1,"46,000",46.00,46.00,46.00,46.00,X,0.0,45.20,1,47.05,5,32.62
1062,8473,山林水,"61,265",62,"2,367,019",38.70,38.75,38.50,38.65,-,0.05,38.55,5,38.65,1,16.73
1063,8478,東哥遊艇,"177,423",143,"7,559,032",41.20,44.10,41.20,43.65,+,2.9,43.60,3,43.85,29,36.68
1064,8480,泰昇-KY,"5,100",6,"605,200",118.50,119.00,118.50,119.00,-,0.5,118.50,5,119.50,2,11.88
1065,8481,政伸,"24,000",14,"1,692,000",70.70,70.70,70.40,70.50,+,0.5,70.40,2,70.50,5,6.09
1066,8482,商億-KY,"126,011",42,"11,331,786",91.50,93.50,88.20,88.90,-,2.6,88.90,2,89.70,12,14.46
1067,8488,吉源-KY,"1,000",1,"14,200",14.20,14.20,14.20,14.20,-,0.1,14.10,3,14.20,1,47.33
1068,8499,鼎炫-KY,"133,728",117,"17,072,434",126.00,128.50,125.50,127.50,+,3.0,127.50,1,128.00,15,10.48
1069,8926,台汽電,"1,757,464",946,"64,320,795",36.60,36.80,36.45,36.80,+,0.2,36.80,4,36.85,43,19.89
1070,8940,新天地,"30,571",80,"306,885",10.15,10.15,10.00,10.10,+,0.1,10.00,2,10.10,3,0.00
1071,8996,高力,"6,040,987","3,831","359,269,156",59.30,61.30,57.50,59.90,+,3.6,59.60,2,59.90,55,53.96
1072,9103,美德醫療-DR,"26,085,965","10,750","784,928,221",29.85,30.95,29.10,29.20,-,0.75,29.20,127,29.25,20,0.00
1073,910322,康師傅-DR,"59,006",11,"1,450,613",24.85,24.85,24.55,24.55,-,0.25,24.20,4,24.60,4,0.00
1074,9105,泰金寶-DR,"18,043,742","3,168","64,166,766",3.69,3.69,3.51,3.56,-,0.12,3.55,197,3.56,362,0.00
1075,910861,神州-DR,"597,012",119,"6,539,232",11.35,11.35,10.85,10.90,-,0.45,10.85,24,10.90,19,0.00
1076,9110,越南控-DR,"838,115",197,"1,957,565",2.48,2.52,2.25,2.36,-,0.12,2.32,9,2.36,4,0.00
1077,911608,明輝-DR,"330,047",136,"1,175,945",3.57,3.66,3.50,3.66, ,0.0,3.53,1,3.66,12,0.00
1078,911616,杜康-DR,"568,318",204,"1,041,976",1.85,1.88,1.81,1.85,-,0.02,1.84,28,1.85,40,0.00
1079,911622,泰聚亨-DR,"467,000",101,"1,826,390",3.95,3.95,3.90,3.94,+,0.02,3.92,15,3.94,88,0.00
1080,911868,同方友友-DR,"1,722,000",319,"2,235,870",1.38,1.38,1.27,1.28,-,0.08,1.28,63,1.29,20,0.00
1081,912000,晨訊科-DR,"1,607,070",362,"3,885,848",2.43,2.44,2.40,2.42,+,0.01,2.41,26,2.42,97,0.00
1082,912398,友佳-DR,"1,059,508",453,"4,315,753",4.27,4.27,4.01,4.03,-,0.24,4.03,16,4.04,7,0.00
1083,9136,巨騰-DR,"189,000",76,"1,780,370",9.35,9.49,9.35,9.46,-,0.03,9.46,11,9.47,2,0.00
1084,9188,精熙-DR,"311,000",107,"858,500",2.81,2.81,2.74,2.76,-,0.05,2.75,130,2.76,59,0.00
1085,9802,鈺齊-KY,"7,244,669","5,169","849,163,702",114.50,120.50,112.00,120.00,+,8.0,119.50,14,120.00,19,20.48
1086,9902,台火,"244,007",125,"2,551,973",10.40,10.65,10.20,10.55,+,0.15,10.55,1,10.60,59,40.58
1087,9904,寶成,"7,547,700","3,084","214,531,341",28.10,28.70,28.10,28.50,+,0.05,28.50,162,28.55,119,18.75
1088,9905,大華,"115,008",77,"2,555,475",22.30,22.35,22.10,22.25,-,0.05,22.25,8,22.30,12,11.65
1089,9906,欣巴巴,"40,046",29,"1,603,059",41.25,41.25,39.80,39.90,-,0.05,39.90,1,40.15,6,0.00
1090,9907,統一實,"1,829,214",591,"18,687,890",10.15,10.30,10.15,10.25, ,0.0,10.20,52,10.25,168,18.64
1091,9908,大台北,"75,234",61,"2,491,838",33.65,33.65,33.00,33.10,+,0.1,33.05,9,33.10,35,20.56
1092,9910,豐泰,"1,421,843","1,250","265,525,789",191.50,191.50,185.00,185.50,-,3.5,185.50,21,186.00,6,32.95
1093,9911,櫻花,"207,839",246,"10,399,514",50.00,51.00,49.85,50.30,+,0.45,50.00,3,50.30,1,12.18
1094,9912,偉聯,"173,936",157,"1,331,099",7.80,7.80,7.52,7.58,-,0.38,7.57,4,7.70,4,0.00
1095,9914,美利達,"3,460,146","2,847","976,680,971",271.00,289.00,270.00,285.00,+,14.0,285.00,12,285.50,1,24.30
1096,9917,中保科,"289,304",291,"25,102,718",87.30,87.30,86.60,87.00,+,0.3,86.80,2,87.00,1,17.47
1097,9918,欣天然,"10,618",22,"386,331",36.80,36.80,36.00,36.00,-,0.3,36.05,1,36.40,1,23.08
1098,9919,康那香,"12,262,162","6,611","416,176,533",33.30,35.05,33.05,33.10,-,0.85,33.10,141,33.15,16,9.02
1099,9921,巨大,"1,831,558","1,421","527,972,287",285.00,293.50,283.00,285.00,+,1.5,285.00,14,285.50,8,25.07
1100,9924,福興,"97,081",77,"4,241,849",44.00,44.00,43.55,43.65,+,0.05,43.65,18,43.70,9,10.10
1101,9925,新保,"138,678",123,"5,115,993",37.00,37.00,36.85,37.00,+,0.1,36.95,1,37.00,43,15.48
1102,9926,新海,"23,247",24,"1,115,157",48.20,48.25,47.60,47.60,+,0.3,47.60,2,47.65,5,20.61
1103,9927,泰銘,"120,827",81,"3,562,871",29.60,29.60,29.40,29.55,+,0.2,29.55,9,29.60,2,21.73
1104,9928,中視,"11,453",8,"55,506",4.92,4.92,4.81,4.92,+,0.11,4.81,6,4.92,2,0.00
1105,9929,秋雨,"23,424",8,"323,194",14.05,14.05,13.75,13.75,-,0.15,13.75,2,13.90,5,2.81
1106,9930,中聯資源,"79,849",75,"3,606,138",46.00,46.00,45.00,45.35,-,0.15,45.35,4,45.45,4,15.17
1107,9931,欣高,"8,402",10,"354,402",42.25,42.25,42.20,42.20,+,0.65,41.65,2,42.50,1,25.27
1108,9933,中鼎,"1,497,755",931,"52,638,967",35.55,35.55,35.05,35.20,-,0.2,35.15,21,35.20,13,22.86
1109,9934,成霖,"388,249",184,"5,766,260",14.85,14.95,14.80,14.85, ,0.0,14.85,52,14.90,56,0.00
1110,9935,慶豐富,"324,293",192,"8,370,272",25.65,26.20,25.55,26.15,+,0.4,26.10,3,26.15,7,15.38
1111,9937,全國,"145,748",94,"7,554,163",51.70,52.20,51.50,52.20,+,0.8,51.90,4,52.20,13,21.66
1112,9938,百和,"3,489,468","2,539","277,720,836",80.00,81.50,78.60,79.90,+,0.5,79.90,14,80.00,97,15.70
1113,9939,宏全,"387,092",282,"22,521,941",58.60,58.60,58.00,58.40,+,0.2,58.30,1,58.40,10,10.32
1114,9940,信義,"398,602",266,"11,124,851",28.45,28.45,27.80,27.90,-,0.15,27.90,1,27.95,11,17.22
1115,9941,裕融,"375,582",401,"37,914,310",101.00,101.50,100.50,101.00, ,0.0,101.00,10,101.50,45,14.29
1116,9941A,裕融甲特,"18,000",12,"908,700",50.40,50.60,50.30,50.60, ,0.0,50.30,14,50.60,34,0.00
1117,9942,茂順,"75,211",67,"5,119,818",68.40,68.40,67.70,68.20,-,0.2,68.10,5,68.20,1,15.68
1118,9943,好樂迪,"174,644",145,"10,592,145",60.60,61.00,60.40,60.80,+,0.1,60.80,8,61.00,2,14.37
1119,9944,新麗,"169,125",101,"3,614,393",21.45,21.55,21.20,21.50, ,0.0,21.35,8,21.50,1,63.24
1120,9945,潤泰新,"2,781,818","1,503","109,827,512",39.50,39.60,39.35,39.60,+,0.1,39.60,92,39.65,25,8.57
1121,9946,三發地產,"429,326",284,"6,094,124",14.55,14.55,14.05,14.15,-,0.3,14.15,22,14.20,2,8.09
1122,9955,佳龍,"347,569",251,"6,251,621",18.00,18.25,17.80,18.00, ,0.0,18.00,6,18.05,7,0.00
1123,9958,世紀鋼,"5,329,935","3,608","555,779,382",101.00,105.50,100.50,105.00,+,4.5,104.50,83,105.00,160,29.58
